"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"47","நெய்கனி நெடுவேல் எஃகிலை இமைக்கும்","Neṟkani neṭuvēl eṟkilai imaykkum","May you live long, my heart!","Longevity, Heart","Heart","Direct Address"
"48","மழை மருள் பல் தோல் மா வண் சோழர்","Maḻai maṟuḷ pal tōl mā vaṇ cōḻar","Not choosing one, you sway like the waves of the big ocean that bring shrimp to the shore and return with garlands","Ocean, Waves","Ocean, Shrimp","Simile"
"49","கழை மாய் காவிரிக் கடல் மண்டு பெருந்துறை","Kaḻai māy kāviṟik kaṭal maṇṭu perunturai","where Kāviri River in which bamboo raft poles disappear enters the ocean","Kāviri River, Ocean","River, Ocean","Descriptive"
"50","இறவொடு வந்து கோதையொடு பெயரும்","Iṟavoṭu vandu kōtaiyoṭu peyaru","belonging to the greatly generous Chozha kings owning shields as dark as clouds and long spears rubbed with oil that glitter like the moon","Generosity, Kings","Kings, Shields","Imagery"
"51","பெருங்கடல் ஓதம் போல,","Peruṅkaṭal ōtam pōla","Not choosing one, you sway like the waves of the big ocean","Ocean, Waves","Ocean","Simile"
"52","ஒன்றிற் கொள்ளாய், சென்றுதரு பொருட்கே","Oṉṟiṟ koḷḷāy, ceṉṟutaru poruṭkē","where Kāviri River in which bamboo raft poles disappear enters the ocean","Kāviri River, Ocean","River, Ocean","Descriptive"
"53","நன்கலம் களிற்றொடு நண்ணார் ஏந்தி","Naṉkalam kaḷiṟṟoṭu naṇṇār ēnti","If the enemies who lost brought tributes of precious jewels along with bull elephants","Tributes, Bull Elephants","Precious jewels, Bull Elephants","Hypothetical"
"54","வந்து திறை கொடுத்து வணங்கினர் வழிமொழிந்து","Vantu tiṟai koṭuttu vaṇaṅkiṉar vaḻimoḻintu","humbly bowed and uttered praise words and bade goodbye","Humility, Farewell","Bow, Praise","Descriptive"
"55","“சென்றீக” என்ப ஆயின், வேந்தனும்","“Ceṉṟīka” eṉṟa āyiṉ, vēntāṉum","If they said “Go”, the king will agree to leave now for his town","Departure, Agreement","King, Departure","Conditional"
"56","நிலம் வருத்துறாஅ ஈண்டிய தானையொடு","Nilam varuttuṟāa eṇṭiya tāṉaiyoṭu","causing the land to be sad. It is true and good","Land, Sadness","Sad Land","Descriptive"
"57","இன்றே புகுதல் வாய்வது நன்றே","Iṉṟē pukutal vāyṟvatu naṉṟē","It is true and good","Truth, Goodness","Goodness","Descriptive"
"58","மாட மாண் நகர்ப் பாடு அமை சேக்கைத்","Māṭa māṇ nagar pāṭu amai cēkkait","Our sorrow in the battle camp has ended, and my lover","Battle Camp, Lover","Battle Camp, Lover","Narrative"
"59","துனி தீர் கொள்கை நம் காதலி இனிதுறப்","Tuni tīr koḷkai ṉaṉ kātali iṉiṟuṟap","sleeping sweetly in her fine bed in an upper floor of a splendid mansion","Bed, Mansion","Splendid Mansion","Imagery"
"60","பாசறை வருத்தம் வீட, நீயும்","Pāsāṟai varuttam vīṭa, nīyum","has no hatred","Hatred, Affection","Hatred","Contrast"
"61","மின்னு நிமிர்ந்தன்ன பொன் இயல் புனை படைக்","Miṉṉu nimirntaṉṉa poṉ iyal puṉai paṭaikk","Hold the hand-desired bridles and ride fast your rapid horses with trimmed, tufted hair and decorated gold saddles","Horses, Saddles","Gold Saddles","Descriptive"
"62","கொய் சுவல் புரவிக் கை கவர் வயங்கு பரி","Koi cuval puravik kai kavar vayaṅku pari","glittering like lightning strikes, on the long path, where fragrant mullai flowers have opened on green vines","Lightning, Mullai Flowers","Lightning, Mullai Flowers","Simile"
"63","வண் பெயற்கு அவிழ்ந்த பைங்கொடி முல்லை","Vaṇ peyarku avizhṉa paiṅkoṭi muḷḷai","because of the abundant rains, and humming bees hover on the new blossoms","Rains, Bees","Bees, Blossoms","Imagery"
"64","வீ கமழ் நெடுவழி ஊது வண்டு இரிய","Vī kamaḻ neṭuvazhi ūtu vaṇṭu iriya","Our town is the one with tall walls and rows of bastions","Town, Walls","Tall Walls","Descriptive"
"65","காலை எய்தக் கடவுமதி, மாலை","Kālai eytak kaṭavumati, mālai","where the evening twilight guards beat beautiful panai","Twilight, Guards","Evening, Guards","Imagery"
"66","அந்திக் காவலர் அம் பணை இமிழ் இசை","Antik kāvalar am paṇai iḻi izai","with beautiful panai drums that beat and the music of night watchmen","Drums, Music","Drums, Music","Descriptive"
"67","அரமிய வியல் அகத்து இயம்பும்","Aramiya viyal akattṉu iyaṉbum","Our town is the one with tall walls and rows of bastions","Town, Bastions","Walls, Bastions","Descriptive"
"68","நிரை நிலை ஞாயில் நெடுமதில் ஊரே","Nirai niḷai ñāyil neṭumaṟil ūṟē","where the evening twilight guards beat beautiful panai drums","Twilight, Panai Drums","Panai Drums","Descriptive"
"69","அரம் போழ் அவ்வளை தோள் நிலை நெகிழ,","Aram pōḻ avvaḷai tōḷ nilai nekiḻ,","For my bangles, cut and made with saws, to slip from my arms,","Bangles, Loss","Bangles","Descriptive"
"70","நிரம்பா வாழ்க்கை நேர்தல் வேண்டி,","Nirampā vāḻkkai nēr̤tal vēṇṭi,","mature buds of eengai resembling iravam seeds that blossom white like hailstones to drop,","Buds, White","Eengai buds, Hailstones","Simile"
"71","இரங்காழ் அன்ன அரும்பு முதிர் ஈங்கை","Iraṅkāḻ anna arumpu mudir īṅkai","pollen-filled buds of blue waterlilies that are like the dark beards of chameleons with sharp tails,","Waterlilies, Chameleons","Blue waterlilies, Chameleons","Simile"
"72","ஆலியன்ன வால் வீ தாஅய்","Āliyaṉṉa vāḷa vī tāṟāy","to open their petals, and overflowing clouds after rains to move in the dark skies","Petals, Clouds","Petals, Clouds","Imagery"
"73","வை வால் ஓதி மை அணல் ஏய்ப்பத்,","Vai vāḷ ōti mai aṇal ēyppat,","looking like elephants with dried oozing musth, sleepless green eyes, wide feet and huge mouth,","Elephants, Musth","Elephants, Musth","Simile"
"74","தாது உறு குவளைப் போது பிணி அவிழப்","Tātu uṟu kuvaḷaippōtu piṇi avizha","Oh northern wind, even when there is no discord between us, you blow in the middle of the night","Northern Wind, Discord","Northern Wind","Direct Address"
"75","படாஅப் பைங்கண் பாவடிக் கயவாய்க்","Paṭāāp paiṅkaṇ pāvaṭik kayavāyk","chill and attacking, without thought of the strengths of those who suffer.","Chill, Strength","Chill","Descriptive"
"76","கடாஅம் மாறிய யானை போலப்,","Kaṭāām māṟiya yānai pōlāp,","You will run away in fear, like the men who were afraid to stand before Karikāl Valavan","Fear, Karikāl Valavan","Karikāl Valavan","Simile"
"77","பெய்து வறிது ஆகிய பொங்கு செலற் கொண்மூ","Peytu vaṟitu ākiya poṅku ceḷaṟ koṇmū","to whom nine kings lost their royal umbrellas in one day in the Vākai battle","Kings, Umbrellas","Royal Umbrellas","Historical Reference"
"78","மை தோய் விசும்பின் மாதிரத்து உழிதரப்","Mai tōy viṟumpiṉ mātirattu uḻitaraṟap","a king with fine, rapid horses with beautiful, wide tufts, and terror-causing armies which occupy the lands he desires,","Horses, Armies","Rapid Horses","Descriptive"
"79","பனி அடூஉ நின்ற பானாள் கங்குல்","Paṉi aṭū uṉṟa pāṉāḷ kaṅkuḷ","because our man who has gone to do the work of God","Work of God, Tradition","Man, Tradition","Narrative"
"80","தமியோர் மதுகை தூக்காய் தண்ணென,","Tamiṟōr matukai tūkkāy taṇṇeṉa,","according to the tradition of pressing palms together and worshipping, is returning fast.","Worship, Tradition","Pressing Palms","Descriptive"
"81","முனிய அலைத்தி முரண் இல் காலை,","Muṉiya alaitti muraṇ il kālai,","Our man who has gone to do the work of God, according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"82","கைதொழு மரபின் கடவுள் சான்ற","Kai toḻu marabiṉ kaṭavuḷ cāṉṟa","because our man who has gone to do the work of God","Work of God","Tradition","Narrative"
"83","செய் வினை மருங்கிற் சென்றோர் வல்வரின்,","Cey viṉai maruṅkiṟ ceṉṟōr valvarin,","according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"84","விரி உளைப் பொலிந்த பரியுடை நன் மான்","Viri uḷaippoliṉda pariyuṭai ṉaṉ māṉ","because our man who has gone to do the work of God","Work of God","Tradition","Narrative"
"85","வெருவரு தானையொடு வேண்டு புலத்து இறுத்த","Veṟuvara tāṉaiyoṭu vēṇṭu pulattu iṟutta","according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"86","பெரு வளக் கரிகால் முன்னிலைச் செல்லார்,","Peru vaḷak karikāl muṉṉilai c̱ceṉṟāṟ,","because our man who has gone to do the work of God","Work of God","Tradition","Narrative"
"87","சூடா வாகைப் பறந்தலை ஆடுபெற","Cūṭā vākaip paṟaṉṟalai āṭupeṟa","according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"88","ஒன்பது குடையும் நன்பகல் ஒழித்த","Oṉpatu kuṭaiyum naṉpakal oḻitta","Our town is the one with tall walls and rows of bastions","Town, Bastions","Tall Walls","Descriptive"
"89","பீடு இல் மன்னர் போல,","Pīṭu il maṉṉar pōlā,","like the men who were afraid to stand before Karikāl Valavan","Fear, Karikāl Valavan","Karikāl Valavan","Simile"
"90","ஓடுவை மன்னால் வாடை, நீ எமக்கே.","Ōṭuvai maṉṉāl vāṭai, nī emakkē.","because our man who has gone to do the work of God, according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"91","நினவாய் செத்து நீ பல உள்ளிப்,","Niṉavāy ceṭṭu nī pala uḷḷip,","Oh naive heart that stands there without letting go,","Heart, Naivety","Naive Heart","Direct Address"
"92","பெரும் புன் பைதலை வருந்தல் அன்றியும்","Perum puṉ paitalai vaṟuntal aṉṟiyum","Thinking that words are true, you have suffered greatly and struggled with pain.","Suffering, Truth","Words, Pain","Narrative"
"93","மலை மிசைத் தொடுத்த மலிந்து செலல் நீத்தம்","Malai micait toṭutta malintu ceḷal nīttam","You will be ruined like Anni, who desired Thithiyan’s punnai tree","Ruined, Desire","Punnai Tree","Simile"
"94","தலைநாள் மா மலர் தண் துறைத் தயங்கக்","Talaṉāḷ mā malar taṇ ṭuṟait tayangka","with clusters of fragrant, golden flowers, and could not be controlled by the good words","Flowers, Words","Golden Flowers","Descriptive"
"95","கடற்கரை மெலிக்கும் காவிரிப் பேரியாற்று","Kaṭaṟkarai meḷikkum kāviṟip pēriyāṟṟu","of his friend Evvi owning an army with spears and towns with fine jewels and pearls","Jewels, Pearls","Army, Jewels","Descriptive"
"96","அறல் வார் நெடுங்கயத்து அரு நிலை கலங்க","Aṟal vāṟ neṭuṅkayattu aru nilai kalaṅka","as big as kazhangu seeds, that a bard’s daughter of fine words and curved, beautiful navel, barters","Kazhangu Seeds, Bard’s Daughter","Bard’s Daughter","Simile"
"97","மால் இருள் நடுநாள் போகித், தன் ஐயர்","Māl iraḷ naṭuṉāḷ pōkiṟa, taṉ aiyar","and gets instead of red rice, on the streets with tall, swaying flags, for thick-finned vālai fish","Vālai Fish, Flags","Red Rice","Descriptive"
"98","காலைத் தந்த கணைக்கோட்டு வாளைக்கு,","Kālait tanta kaṇaikkōṭṭu vāḷaikku,","brought by her brothers at dawn leaving at midnight muddying the estuary of the mighty Kāviri river","Dawn, Midnight","Kāviri River","Narrative"
"99","அவ் வாங்கு உந்தி அம் சொல் பாண்மகள்","Av vāṅku undi am col pāṇmaḵaḷ","with long sand bars with fine sand, that reduces the ocean’s shores.","Sand Bars, Ocean","Sand Bars","Imagery"
"100","நெடுங்கொடி நுடங்கு நறவு மலி மறுகில்","Neṭuṅkoṭi nuṭaṅku naṟavu mali maṟukil","Huge, fresh flowers on the shore flourish in the flood waters which started on the mountains.","Flowers, Flood Waters","Mountains, Flood Waters","Descriptive"
"101","பழம் செந்நெல்லின் முகவை கொள்ளாள்,","Paḻam ceṉṉellin mukavai koḷḷāḷ,","Our town is the one with tall walls and rows of bastions","Town, Bastions","Tall Walls","Descriptive"
"102","கழங்கு உறழ் முத்தமொடு நன்கலம் பெறூஉம்","Kaḻaṅku uṟaḻ mutamōṭu naṉkaḷam peṟūm","with clusters of fragrant, golden flowers, and could not be controlled by the good words","Jewels, Pearls","Golden Flowers","Descriptive"
"103","பயங்கெழு வைப்பிற் பல் வேல் எவ்வி","Payankeḻu vaippaṟ pal vēl evvi","of his friend Evvi owning an army with spears and towns with fine jewels and pearls","Evvi, Spears","Army","Descriptive"
"104","நயம் புரி நன் மொழி அடக்கவும் அடங்கான்,","Nayam puri ṉaṉ moḻi aṭakkavum aṭaṅkāṉ,","because our man who has gone to do the work of God, according to the tradition of pressing palms together and worshipping, is returning fast.","Work of God","Pressing Palms","Narrative"
"105","பொன் இணர் நறுமலர்ப் புன்னை வெஃகித்","Poṉ iṇaṟ naṟumalarp puṉṉai veḷkīt","like the men who were afraid to stand before Karikāl Valavan","Karikāl Valavan, Fear","Fear","Simile"
"106","திதியனொடு பொருத அன்னி போல","Titiyaṉoṭu poruta aṉṉi pōlā","a king with fine, rapid horses with beautiful, wide tufts, and terror-causing armies which occupy the lands he desires,","Rapid Horses","Horses","Descriptive"
"107","விளிகுவை கொல்லோ, நீயே, கிளியெனச்","Viḷikuvai kollō, nīyē, kiḷiyeṉac","because our man who has gone to do the work of God","Work of God","Tradition","Narrative"
"108","சிறிய மிழற்றும் செவ்வாய்ப், பெரிய","Siṟiya miḻaṟṟum cevvāyp, periya","according to the tradition of pressing palms together and worshipping, is returning fast.","Returning, Tradition","Returning","Descriptive"
"109","கயல் என அமர்த்த உண்கண், புயல் எனப்","Kayal eṉa amartta uṇkaṇ, puyal eṉap","with clusters of fragrant, golden flowers, and could not be controlled by the good words","Fish, Storm","Fish","Simile"
"110","புறம் தாழ்பு இருளிய பிறங்கு குரல் ஐம்பால்,","Puṟam tāḻpu iṟuḷiya piṟaṅku kural aimpāl,","as big as kazhangu seeds, that a bard’s daughter of fine words and curved, beautiful navel, barters","Kazhangu Seeds, Bard’s Daughter","Bard’s Daughter","Simile"
"111","மின் நேர் மருங்குல் குறுமகள்","Miṉ nēr maruṅkuḷ kuṟumakaḷ","with clusters of fragrant, golden flowers, and could not be controlled by the good words","Returning, Tradition","Returning","Descriptive"
"112","பின்னிலை விடாஅ மடங்கெழு நெஞ்சே?","Piṉṉilai viḍāṟa maṭaṅkeḻu neñcē?","Oh naive heart that stands there without letting go, behind the young woman with a red mouth that prattles gently like a parrot","Heart, Naivety","Naive Heart","Direct Address"
"113","இலங்கு வளை நெகிழச் சாஅய் அல்கலும்,","Ilaṅku vaḷai nekiḻac sāāy alkaḷum,","May you live long, my friend! Your faultless lover will not stay in another country,","Long Life, Separation","Bright Bangles","Direct Address"
"114","கலங்கு அஞர் உழந்து நாம் இவண் ஒழிய","Kaḷaṅku añar uḻantu nām ivaṇ oḻiya","where they speak a different language, letting your bright bangles to become loose, and your body","Language, Distress","Loose Bangles","Imagery"
"115","வலம்படு முரசின் சேரலாதன்","Valampaṭu muraciṉ cērālātaṉ","to become thin, struggling here each day with sorrow and distress,","Sorrow, Struggle","Struggling Body","Descriptive"
"116","முந்நீர் ஓட்டிக் கடம்பு அறுத்து, இமயத்து","Muṉṉīr ōṭṭik kaṭampu aṟuttu, imayattu","even if he were given the wealth that King Neduncheralāthan with victory drums","Wealth, Kingship","Victory Drums","Narrative"
"117","முன்னோர் மருள வணங்கு வில் பொறித்து,","Muṉṉōr maṟuḷa vaṇaṅku vil poṟittu,","who rode the seas and chopped the sacred kadampam tree of his enemy","Kadampam Tree","Sacred Tree","Descriptive"
"118","நன் நகர் மாந்தை முற்றத்து ஒன்னார்","Naṉ nakar māṉṟai muṯṟattu oṉṉār","and like his ancestors, carved the curved bow symbol on the Himalayas,","Himalayas, Bows","Curved Bow","Simile"
"119","பணி திறை தந்த பாடு சால் நன்கலம்","Paṇi tiṟai tanda pāṭu sāḷ naṉkaḷam","got as tributes from his enemies fine jewels gold female figurines and diamonds in huge quantities","Jewels, Figurines","Fine Jewels","Descriptive"
"120","பொன் செய் பாவை வயிரமொடு ஆம்பல்","Poṉ ceṟ pāvai vaiyiramōṭu āmpal","known by the word āmpal, heaped them in his palace yard in Mānthai city, and abandoned them","Mānthai City, Abandonment","Heaped Jewels","Narrative"
"121","ஒன்றுவாய் நிறையக் குவைஇ, அன்று அவண்","Oṉṟuvāy niṟaikk kuvaī, aṉṟu avaṇ","for the land to devour.","Land, Devour","Abandoned Wealth","Descriptive"
"122","நிலம் தினத் துறந்த நிதியத்து அன்ன,","Nilam tiṉat tuṟanta nidiyaṯṯu aṉṉa,","He will not stay away another day on the fierce,","Fierce Path","Forked Path","Narrative"
"123","ஒரு நாள் ஒரு பகல் பெறினும், வழிநாள்","Oru nāḷ oru pakal peṟiṉum, vaḻināḷ","forked path where uneducated men who wear lovely clusters of delicate, white flowers with red stems","White Flowers, Red Stems","Uneducated Men","Descriptive"
"124","தங்கலர் வாழி தோழி! செங்கோற்","Taṅkaḷar vāḻi tōḻi! ceṅkōṟ","from kadampam trees with sturdy trunks, on their tight, curly hair, carry curved bows on their left side,","Kadampam Trees, Curly Hair","Curved Bows","Simile"
"125","கருங்கால் மராஅத்து வாஅல் மெல் இணர்ச்","Kaṟuṅkāl marāṟu vāāḷ mel iṇaṟc","and are looking for those who travel.","Travelers","Looking","Descriptive"
"126","சுரிந்து வணர் பித்தை பொலியச் சூடிக்,","Cuṟintu vaṇar pittai poḷiyac cūṭik,","Oh, how the fierce, forked path will end up,","Fierce Path, End","Fierce Path","Imagery"
"127","கல்லா மழவர் வில் இடம் தழீஇ,","Kaḷḷā maḻavar vil iṭam taḻīī,","where the uneducated men with lovely clusters of delicate white flowers","Uneducated Men, Flowers","Delicate Flowers","Descriptive"
"128","வருநர்ப் பார்க்கும் வெருவரு கவலை","Varuṉaṟp pārkkum veruvaru kavalai","with red stems from kadampam trees with sturdy trunks","Kadampam Trees","Red Stems","Imagery"
